City	100	101	10101	102	10201	103	104	105	106	10601	107	108	109	110	11001	111	112	113	114	115	116	117	11701	118	119	200	201	202	203	20301	20302	204	20401	205	206	20601	207	208	20801	209	20901	210	211	212	21201	213	214	215	216	217	21701	218	219	220	221	222	22201	223	22301	224	22401	225	300	30001	301	302	30201	30202	30203	30204	30205	30206	30207	30208	30209	302010	302011	302012	303	30301	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	400	401	402	403	40301	404	40401	405	406	40601	407	408	40801	409	40901	410	41001	411	41101	412	41201	413	41301	414	415	41501	416	41601	417	41701	418	41801	419	41901	420	42001	421	422	423	42301	424	42401	500	50001	501	50101	50102	502	503	504	505	50501	506	507	50701	508	509	510	511	512	513	514	515	51501	51502	516	517	518	519	520	600	601	602	60201	603	60301	60302	604	60401	60402	60403	60404	60405	60406	605	60501	606	60601	607	60701	60702	60703	60704	60705	60706	608	60801	60802	60803	60804	60805	60806	60807	60808	60809	608010	609	610	61001	61002	61003	611	61101	612	613	61301	61302	61303	61304	61305	61306	61307	61308	61309	613010	613011	613012	613013	613014	613015	613016	614	61401	61402	61403	61404	61405	61406	61407	61408	61409	614010	614011	614012	614013	614014	614015	614016	614017	614018	614019	614020	614021	614022	614023	614024	614025	614026	614027	614028	614029	614030	614031	614032	614033	614034	615	61501	61502	61503	61504	61505	61506	616	61601	61602	61603	61604	61605	61606	61607	61608	61609	616010	616011	616012	616013	616014	616015	616016	616017	616018	616019	616020	616021	616022	616023	616024	616025	616026	616027	616028	616029	616030	616031	616032	616033	616034	616035	616036	616037	616038	616039	616040	616041	616042	616043	616044	616045	616046	617	618	619	61901
Kisielice	Freystadt	Freistadt				Freystadt	Freystadt	Freystadt	Freystadt				Freystadt	Freystadt			Freystadt	Freystadt	Freystadt	Freystadt						Freystadt		Freystadt	Freystadt					Freystadt	Freystadt					Freystadt		Freystadt	Freystadt	Freystadt		Freystadt	Freystadt	Freystadt	Freistadt	Freistadt			Freystadt	Freystadt	Freystadt	Kisielice	Frejstadt	Freistadt		Freistadt		Freystadt			Freistadt	Kisielice	Kisielec	Freistadt	Kiszelycz	Vrienstadt									Freistadt		Freistadt	Freistadt	Freystadt	Freystadt	Kisielec	Freystadt	Freistadt	Freystadt	Freystadt		Freystadt	Freystadt	Freystadt	Freystadt	Kisielice	Freystadt	Freystadt	Freystadt 	Kisielice		Kisielice	Freistadt		Kisielice		Kisielice			Kisielice	Kisielice		Freystadt	Kisielice	Freystadt		Freystadt		Freystadt	Kisielice	Freystadt		Kisielice	Freystadt		Freystadt	Kisielice	Freystadt		Freystadt				Freystadt		Freystadt	Freystadt	Freystadt		Kisielice	Freystadt	Kisielice		Freystadt			Kisielice	Kisielice	Kisielice	Kisielice	Freystadt	Kisielice	Freystadt		Kisielice	Kisielice	Kisielice			Kisielice		Freystadt	Kisielice		Kisielice	Kisielice	Kisielice	Kisielice		Kisielice	Kisielice	Kisielice		Kisielice												Kisielice		Kisielice	Freystadt						Kisielice	Freystadt										Kisielice	Kisielice	Freystadt			Kisielice		Kisielice	Freystadt	Kisielice 	Vrienstadt	Freistadt														Kisielice 	Cziselëce	Freystadt	Киселице	Кіселіце	基謝利采																														Kisielice 	Freystadt 						Cziselëce	Kjselice	Kisielice	Freystadt 																																												Kisielice	Kisielice	Kisielice	Freystadt
Koczała		Fleuterszyn									Flötenstein	Flötenstein						Flötenstein		Flotenstein						Flotenstein														Flötenstein		Flötenstein		Flötenstein					Flötenstein	Flötenstein			Flötenstein		Flötenstein			Flötenstein								Koczała	Flötenstein	Vliessensteyn											Flötenstein		Flötenstein	Flötenstein	Flötenstein	Flötenstein	Koczala	Flötenstein	Flötenstein	Flötenstein	Flötenstein		Flötenstein		Flötenstein	Flötenstein	Koczała	Flötenstein	Flötenstein				Koczała	Flötenstein							Koczała							Flötenstein		Flötenstein	Koczała	Flötenstein			Koczała		Flötenstein										Flötenstein	Flötenstein	Flötenstein		Koczała				Flötenstein			Koczała	Koczala				Koczała	Flötenstein		Koczała					Koczała					Koczała		Koczała	Koczała	Koczała	Koczała	Koczała			Koczała												Koczała		Koczała	Flötenstein						Koczała	Flötenstein										Koczała	Koczała	Flötenstein			Koczała		Koczała	Flötenstein	Koczała 	Fliesenstein															Koczała 	Flotenstein	Flötenstein	Koczala	Kòczała																															Koczała 	Kòczała	Flötenstein					Kòczała																																															Koczała	Koczała	Koczała	
Kościerzyna	Bernt	Bernt		Berend		Behrendt	Berend	Berend	Berend		Behrendt		Behrend	Berend		Bernt	Berend	Behrend	Behrendt	Behrend	Berend				Berend	Behren		Berend	Behrendt			Koscierz	Berend	Behrent	Bernt		Bernt			Behrendt		Behrend	Behrend	Behrendt		Berent	Berent	Behrendt	Behrent	Behrent		Berent	Kościerz	Berent	Behrendt			Behrent		Behrent	Bern	Berent	Bernt		Berent	Kościerzyna	Berent	Costrina	Kustryn	Cosceryna	Koscina								Behrent		Berent	Berent	Berent	Berent	Koscierzyna	Berent	Berent	Berent	Berent	Kościerzyna	Berent	Berent	Berent	Berent	Kościerzyna	Berent	Berent	Berent	Kościerzyna	Kościerzyna	Kościerzyna	Behrent		Kościerzyna		Kościerzyna	Kościerzyna		Kościerzyna	Kościerzyna		Kościerzyna				Berent		Kościerzyna		Berent		Kościerzyna	Berent		Kościerzyna		Berent		Berent	Koscierzyna	Kościerzyna		Berent		Berent	Berent	Berent		Kościerzyna		Kościerzyna		Berent	Kościerzyna		Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna		Kościerzyna	Berent		Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Berent	Kościerzyna		Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna	Kościerzyna		Kościerzyna			Kościerzyna	Kòscérzëna	Kòscérzna	Kòscérzëno				Kościerzyna		Kościerzyna	Kòscérzna	Kościerzyna	Berent						Kościerzyna	Berent										Kościerzyna	Kościerzyna	Berent			Kościerzyna		Kościerzyna	Berent	Kościerzyna 	Bern	Behrendt														Kościerzyna 	Kòscérzna	Koscežina	Koscežyna	Косьцежина	Кошћежина	Кошчежина	科希切日納																												Kościerzyna 	Kòscérzna	Berent	Bern				Kościerzyna 	Kòscérzna	Kòscérzëna	Kòscérzëno	Kościerzyna	Berent	Costerina																																									Kościerzyna	Kościerzyna	Kościerzyna	Berent
Krajenka		Krojanki				Krojanke	Krojanki	Krojanke	Krojanke		Krojanke		Krojanke	Klojanka		Krojanky	Klojamke	Krojanke		Krojanke					Krojanki			Krojanke	Krojanke					Krojanke	Krojankj					Krojanke		Krojanke	Krojanke	Krojanke		Krojanke	Krojanke	Krojanke	Krojanke	Krojanke				Krojanke	Krojanke			Krojanke				Krojanke			Krojanke	Krojanka	Krojanke	Krainka	Kraina	Crayna	Kroganick								Krojanke		Krojanke	Krojanke	Krojanke	Krojanke	Krajenka	Krojanke	Krojanke	Krojanke	Krojanke		Krojanke	Krojanke	Krojanke	Krojanke	Krajenka	Krojanke	Krojanke		Krajenka		Krajenka	Krojanke		Krajenka		Krajenka			Krajenka			Krojanke	Krajenka			Krojanke		Krojanke	Krajenka	Krojanke		Krajenka	Krojanke		Krojanke		Krojanke		Krojanke						Krojanke	Krojanke	Krojanke		Krajenka				Krojanke			Krajenka	Krajenka	Krajenka			Krajenka	Krojanke		Krajenka	Krajenka				Krajenka	Krajenka	Krojanke	Krajenka		Krajenka	Krajenka	Krajenka	Krajenka	Krajenka	Krajenka	Krajenka			Krajenka												Krajenka		Krajenka	Krojanke						Krojanke	Krajenka										Krajenka	Krajenka	Krojanke			Krajenka		Krajenka	Krojanke	Krajenka 	Krajanka															Krajenka 	Krojanke	Краенка	Краєнка	Крајенка	克拉延卡																														Krajenka 	Krojanke						Krajenka 	Krainka	Kraina	Crayna	Kroganick	Crajanez	Krojanka	Krajenka	Krojanke																																							Krajenka	Krajenka	Krajenka	Krojanke
Kwidzyn	Marienwerder	Marienwerder		Marienwerder		Marienwerder	Marienwerder	Marienwerder	Marienwerder		Marienwerder	Marienwerder	Marienwerder	Marienwerder		Marienwerder	Marienwerder	Marienwerder	Marienwerder	Marienwerder	Marienwerder				Marienwerder	Marienwerder	Marienwerder	Marienwerder	Marienwerder			Kwidzin	Marienwerder	Marienwerder	Marienwerder		Marienwerder	Marienwerder		Marienwerder		Marienwerder	Marienwerder	Marienwerder		Marienwerder	Marienwerder	Marienwerder	Marienwerder	Marienwerder	Kwidzyn	Marienwerder	Kwidzyn	Marienwerder	Marienwerder	Kwidzyn	Marienwerder	Marienwerder	Kwidzyn	Marienwerder		Marienwerder			Marienwerder	Kwidzyn	Marienwerder	Quedin	Quidin	Quidino	Castrum Quidin								Marienwerder	Kwidzyn	Marienwerder	Marienwerder	Marienwerder	Marienwerder	Kwidzyń	Marienwerder	Marienwerder	Marienwerder	Marienwerder	Kwidzyn	Marienwerder	Marienwerder	Marienwerder	Marienwerder	Kwidzyń	Marienwerder	Marienwerder	Marienwerder	Kwidzyn	Kwidzyn	Kwidzyn	Marienwerder		Kwidzyn		Kwidzyn			Kwidzyn	Kwidzyn	Marienwerder	Marienwerder	Kwidzyn	Marienwerder		Marienwerder		Marienwerder	Kwidzyń	Marienwerder		Kwidzyn	Marienwerder		Marienwerder	Kwidzyn	Marienwerder		Marienwerder		Marienwerder	Kwidzyń	Marienwerder		Marienwerder	Marienwerder	Marienwerder		Kwidzyn	Marienwerder	Kwidzyn		Marienwerder	Kwidzyn		Kwidzyn	Kwidzyn	Kwidzyn	Kwidzyń	Marienwerder	Kwidzyn	Marienwerder		Kwidzyn	Kwidzyn	Kwidzyn	Kwidzyn	Kwidzyn	Kwidzyn	Kwidzyn	Marienwerder	Kwidzyn		Kwidzyn	Kwidzyn	Kwidzyn	Kwidzyn		Kwidzyn	Kwidzyn	Kwidzyn		Kwidzyn										Kwidzyn		Kwidzyn		Kwidzyn	Marienwerder						Kwidzyn	Marienwerder										Kwidzyn	Kwidzyn	Marienwerder			Kwidzyn		Kwidzyn	Marienwerder	Kwidzyn 																Kwidzyn 	กฟิดซึน	Kvidzina	Kvidzynas	Kwidzëno	Marienwerder	Квидзин	Квидзын	Квідзин	克维曾																										Kwidzyn 	Quedin	Insula Sanctae Mariae	Marienwerder	Kwidzyń			Kwidzëno	Kwidzyn	Marienwerder																																													Kwidzyn	Kwidzyn	Kwidzyn	Marienwerder
Łasin		Laszyn		Lesno		Lessen	Lessen	Lessen	Lessen		Lessen		Lessen	Lessen			Lessen	Lessen		Lessen								Lessen	Lessen											Lessen		Lessen	Lessen	Lessen			Lessen		Lessen	Lessen			Laszyn	Lessen	Lessen	Łaszyn		Lessen		Lessen	Laszyn	Lessen			Lessen	Łasin	Lessen	Lansin	Lessin	Leszyn	Leschin	Lassien	Laschen	Laszin	Lasin				Lessen		Lessen	Lessen	Lessen	Lessen	Łasin	Lessen	Lessen	Lessen	Lessen		Lessen	Lessen	Lessen	Lessen	Łasin	Lessen	Lessen	Lessen	Łasin		Łasin	Lessen		Łasin		Łasin			Łasin	Łasin		Łasin				Lessen		Łasin		Lessen		Łasin	Lessen		Łasin		Lessen		Lessen	Lasin			Lessen		Lessen	Lessen	Lessen		Łasin		Łasin		Lessen	Łasin		Łasin	Łasin	Łasin			Łasin	Lessen	Lasin	Łasin	Łasin		Łasin		Łasin	Łasin	Lessen	Łasin		Łasin	Łasin	Łasin	Łasin		Łasin	Łasin	Łasin		Łasin												Łasin		Łasin	Lessen																	Łasin	Łasin	Lessen			Łasin		Łasin	Lessen	Łasin 	Leszyn	Lansin	Lessin	Lasin	Laszin											Łasin 	Lasina	Łazin	Łôsëno	Ласин	Ласін	瓦辛																													Łasin 	Lessen						Łôsëno	Łasin	Lessen																																													Łasin	Łasin	Łasin	Lessen
Lędyczek		Landek		Landek		Landeck	Landek	Landek	Landeck		Landeck		Landeck	Landeck		Landeck	Landek	Landeck	Landek	Landeck	Landek				Landeck	Landeck		Landek	Landeck					Landeck	Landek					Landek		Landeck	Landeck	Landeck		Landek	Landeck	Landeck	Landeck	Landeck		Landeck	Landek	Landeck	Landek			Landeck		Landeck		Landeck			Landeck	Landeck	Lendyczek	Landek											Landeck		Landeck	Landeck	Landeck	Landeck		Landeck	Landeck	Landeck	Landeck		Landeck	Landeck	Landeck	Landeck	Lendyczek	Landeck	Landeck		Lendyczek		Lendyczek	Landeck		Lendyczek		Lendyczek			Lendyczek			Landeck	Lendyczek	Landeck		Landeck		Landeck	Lendyczek	Landeck		Lendyczek	Landeck		Landeck	Lędyczek	Landeck								Landeck	Landeck	Landeck		Lędyczek				Landeck			Lendyczek	Lendyczek	Lędyczek			Lędyczek	Landeck		Lędyczek	Lędyczek	Lędyczek	Lędyczek		Lędyczek	Lędyczek	Landeck	Lędyczek			Lędyczek	Lędyczek	Lędyczek	Lędyczek	Lędyczek				Lędyczek												Lędyczek		Lędyczek	Landeck																		Lędyczek	Landeck			Lędyczek		Lędyczek	Landeck	Lędyczek 	Lendyk	Lendyczek	Landegge													Lędyczek 	Landeck	Lendyczek	Ledyczek																																Lędyczek 	Landeck																																																					Lędyczek	Lędyczek	Lędyczek	Landeck
Lidzbark	Lautenburg	Lautenburg		Lautenburg			Lautenburg	Lautenburg	Lautenburg		Lautenburg	 	Lautenburg	Lautenburg		 	Lautenburg	Lautenburg	 	Lautenburg	 	Lautenburg				Lautenbar	Lautenburg	Lautenburg	Lautenburg					Lautenburg	Lautenburg		Lautenburg			Lautenburg		Lautenburg	Lautenburg	Lautenburg		Lautenburg	Lautenburg	Lautenburg	Lautenburg	Lautenburg				Lautenburg	Lautenburg	Lezdborz 	Lautenburg	Lautenburg		Lautenburg		Lautenburg	Lautenburg		Lautenburg	Lidzbark	Lautenburg	Lutterberg	Luterburg	Liezburg	Ludzbarz								Lautenburg		Lautenburg	Lautenburg		Lautenburg	Lidzbark	Lautenburg	Lautenburg		Lautenburg	Lidzbark	Lautenburg	Lautenburg	Lautenburg	Lautenburg	Lidzbark	Lautenburg	Lautenburg	Lautenburg	Lidzbark		Lidzbark	Lautenburg		Lidzbark		Lidzbark			Lidzbark			Lidzbark				Lautenburg		Lidzbark		Lautenburg		Lidzbark	Lautenburg		Lidzbark				Lautenburg	Lidzbark	Lidzbark		Lautenburg		Lautenburg	Lautenburg	Lautenburg		Lidzbark		Lidzbark		Lautenburg			Lidzbark	Lidzbark	Lidzbark Welski	Lidzbark		Lidzbark Welski	Lautenburg		Lidzbark Welski	Lidzbark Welski	Lidzbark Welski	Lidzbark	Lidzbark	Lidzbark	Lidzbark	Lautenburg	Lidzbark		Lidzbark Działdowski	Lidzbark	Lidzbark			Lidzbark	Lidzbark	Lidzbark		Lidzbark												Lidzbark	Lidzbark Welski	Lidzbark	Lautenburg						Lidzbark	Lidzbark Welski	Lautenburg									Lidzbark	Lidzbark	Lidzbark Welski	Lidzbark Działdowski	Lautenburg	Lidzbark		Lidzbark	Lautenburg	Lidzbark 	Luterberg	Liudbark	Liczbark													Lidzbark 	Lautenburg	Lidzbarka	Lidzbark Welski	Lidzbark-Wieś	Лидзбарк	Лідзбарк	利茲巴克																												Lidzbark 	Lidzbark Welski	Lautenburg	Welliskas Lēcbargs																																																			Lidzbark	Lidzbark	Lidzbark	Lautenburg
Lubawa	Löbau	Lobawa		Löbau		Löbau	Lobau	Lobau	Lobau			Löbau	Lobau	Löbau		Löbau	Löbau	Löbau		Loebau		Lobaw			Löbau	Löbau	Lobau	Lobau	Lobau			Lobawa	Lobau	Loebau	Lobawa		Löbau	Löbau		Löbau		Löbau	Löbau	Löbau		Loebau	Loebau	Loebau	Löbau	Löbau		Loebau		Löbau	Löbau	Lubowo		Löbau		Löbau		Löbau	Lobawa	Löbau	Löbau	Lubawa	Löbau	Loiben	Lubno	Lubow	Lubowe	Lubowa	Lubovia						Löbau		Löbau	Löbau		Löbau	Libawa	Löbau	Löbau		Löbau	Lubawa	Löbau	Löbau	Löbau	Löbau	Lubawa	Löbau	Löbau	Löbau	Lubawa	Lubawa	Lubawa	Löbau		Lubawa		Lubawa			Lubawa	Lubawa		Lubawa				Löbau		Lubawa		Löbau		Lubawa	Löbau		Lubawa				Löbau	Lubawa	Lubawa		Löbau		Löbau	Löbau	Löbau		Lubawa		Lubawa		Löbau	Lubawa		Lubawa	Lubawa	Lubawa	Lubawa		Lubawa	Löbau		Lubawa	Lubawa	Lubawa	Lubawa	Lubawa	Lubawa	Lubawa	Löbau	Lubawa		Lubawa	Lubawa	Lubawa	Lubawa		Lubawa	Lubawa	Lubawa		Lubawa												Lubawa		Lubawa	Löbau						Lubawa	Löbau										Lubawa	Lubawa	Löbau			Lubawa		Lubawa	Löbau	Lubawa 	Lebau															Lubawa 	Liubava	Lubava	Лубава	Любава	盧巴瓦																														Lubawa 	Löbau 	Lūbawa																																																				Lubawa	Lubawa	Lubawa	Löbau
Malbork	Marienburg	Malborg		Marienburg		Marienburg	Marienburg	Marienburg	Marienburg		Marienburg	Marienburg	Marienburg	Marienburg		Marienburg	Marienburg	Marienburg	Marienburg	Marienburg	Marienburg	Marienburg		Marienburg	Marienburg	Marienburg	Marienburg	Marienburg	Marienburg	Malborg		Marienburg	Malbork	Marienburg	Marienburg		Marienburg	Marienburg		Marienburg		Marienburg	Marienburg	Marienburg		Marienburg	Marienburg	Marienburg	Marienburg	Marienburg	Malbork	Marienburg	Malborg	Marienburg	Marienburg	Marienburg		Marienburg		Marienburg		Marienburg	Malborg	Marienburg	Marienburg	Malbork	Marienburg	Castrum S Mariae	Margenborg	Maryngburgh	Merginburg	Marienborch	Mergenburg	Marienburgk	Mergenborch	Mariaeburgum			Marienburg		Marienburg	Marienburg	Marienburg	Marienburg	Malborg	Marienburg	Marienburg	Marienburg	Marienburg	Malborg	Marienburg	Marienburg	Marienburg	Marienburg	Malborg	Marienburg	Marienburg	Marienburg	Malbork	Malborg	Malbork	Marienburg		Malbork		Malbork			Malbork	Malbork	Marienburg	Marienburg	Malbork	Marienburg		Marienburg		Marienburg	Malbork	Marienburg		Malbork	Marienburg		Marienburg		Marienburg		Marienburg		Marienburg	Malbork	Marienburg		Marienburg	Marienburg	Marienburg		Malbork		Malbork		Marienburg	Malbork		Malbork	Malbork	Malbork	Malbork	Marienburg	Malbork	Marienburg		Malbork	Malbork	Malbork	Malbork	Malbork	Malbork	Malbork	Marienburg	Malbork		Malbork	Malbork	Malbork	Malbork		Malbork	Malbork	Malbork		Malbork			Malbork	Malbórg	Malbórch	Malbòrk				Malbork		Malbork		Malbork	Marienburg						Malbork	Marienburg										Malbork	Malbork	Marienburg			Malbork		Malbork	Marienburg	Malbork 	Malborch	Mahlborg														Malbork 	Mal'bork	Malborka	Malborkas	Мальборк	Marienburg																														Malbork 	Mariaeburgum	Mariae castrum	Marianopolis	Marienburg			Malbórg	Nalbórg	Nalibórg	Malibórg	Sanctemarienburch	Castri sancte Marie	Marienburg	Mariemburg	Mariemborg	Margenburgk	Marienburg	Mergenborg	Mariemburg	Marienburg	Malbork	Margenburg	Malbòrg	Malibòrk	Malbórk	Nalbórk	Nalibórk	Malbork	Marienburg																									Malbork	Malbork	Malbork	Marienburg
Mirachowo	Mirachau	Mirachow		Mirchau		Mirchau	Mirschau	Mirokan	Mirchau	Mirokau	Mirchau	 	Mirschau	Mirokau 	Mirschau	Mirchau	Mirokau	Mirchau	Merchau	Mirchau	Mirchau				Mirchau	Mirchau		Mirchau	Mirachow						Mirachow		Mirchau					Mirchau		Mirchau					Mirchau				Mirchow		Mirchau	Mircho		Mirchau		Mirchau			Mirachow			Mirachowo	Mirochowo	Mirchau	Mirchow	Mirchaw	Myrgow								Mirchau		Mirchau	Mirchau	Mirchau	Mirchau		Mirchau	Mirchau	Mirchau	Mirchau		Mirchau		Mirchau	Mirchau	Mirachowo	Mirchau	Mirchau	Mirchau			Mirachowo	Mirchau				Mirachowo			Mirachowo									Mirachowo		Mirchau		Mirachowo	Mirchau				Mirchau						Mirchau		Mirchau	Mirchau	Mirchau				Mirachowo		Mirchau									Mirchau		Mirachowo	Mirachowo	Mirachowo								Mirachowo	Mirachowo	Mirachowo			Mirachowo		Mirachowo		Mirachowo			Mirachowo	Mirochòwò	Mirachòwò	Mierachòwò						Mirachowo	Mirochòwò	Mirachowo	Mirachau	Mirchaw	Mirchau	Mirakow	Mirchow	Mirrachaw	Mirachowo	Mirchau											Mirachowo	Mirchau	Mirochòwò		Mirachowo		Mirachowo	Mirchau	Mirachowo 	Mirchow	Mirchaw	Mirakow	Mirrachaw	Mirachau											Mirachowo 	Mirochowo	Mirochòwò																																	Mirachowo 	Mirochòwò	Mirchau					Mirochòwò	Mirachowo																																														Mirachowo	Mirachowo	Mirachowo	Mirchau
Mirosławiec	Friedland	Frydlancik		Friedland		Märkisch Friedland	Friedland	Friedland	Friedland		Märkisch Friedland	 	Märkisch Friedland	Friedland		Friedland	Friedland	Märkisch Friedland	Märkisch Friedland	Friedland	Friedland	 			Friedland	Markisch Friedland		Märkisch Friedland	Friedland	Fridland				Märkisch Friedland	Fridlancik					Märkisch Friedland		Märkisch Friedland	Märkisch Friedland	Märkisch Friedland		Märkisch Friedland	Märkisch Friedland	Märkisch Friedland	Märkisch Friedland	Märkisch Friedland				Märkisch Friedland						Märkisch-Friedland		Märkisch Friedland	Friedland		Märkisch Friedland	Marchijski Frydląd	Märkisch Friedland												Märkisch Friedland		Märkisch Friedland	Märkisch Friedland		Märkisch Friedland	Marchijski-Frydland	Märkisch-Friedland	Märkisch Friedland	Märkisch Friedland	Märkisch Friedland		Märkisch Friedland	Märkisch Friedland	Märkisch Friedland	Märkisch Friedland	Markisch Friedland		Märkisch Friedland				Markisch Friedland	Märkisch Friedland		Marchijski Frydląd		Marschijski Frydląd			Marschijski Frydląd			Märkisch Friedland 	Frydląd	Märkisch Friedland				Märkisch-Friedland	Frydląd	Märkisch Friedland		Marchijski Frydląd	Märkisch-Friedland		Märkisch Friedland		Märkisch Friedland		Märkisch Friedland						Märkisch Friedland				Frydląd				Märkisch Friedland			Frydląd	Frydland		Mirosławiec	Märkisch Friedland	Mirosławiec			Mirosławiec	Mirosławiec	Mirosławiec	Mirosławiec		Mirosławiec	Mirosławiec	Märkisch Friedland	Mirosławiec		Mirosławiec	Mirosławiec	Mirosławiec		Mirosławiec	Mirosławiec	Mirosławiec			Mirosławiec	Frydląd	Marchijski Frydląd										Mirosławiec		Mirosławiec	Märkisch Friedland						Märkisch Friedland	Polnisch Friedland	Niegen Friedland	Marchijski Frydląd	Frédlądk	Fredlądczyk	Nuwe Vredeland	Fredelant	Mirosławiec			Mirosławiec	Mirosławiec	Märkisch Friedland	Frédlądk		Mirosławiec		Mirosławiec	Märkisch Friedland	Mirosławiec 	Nuwe Vredeland	Nige Fredland	Nova Fredelant	Freydland	Fredelanth	Frydlandek	Fredlandeck	Polnisch Friedland	Friedlanth							Mirosławiec 	Frédlądk	Fridlanczik	Fridlandt	Frydlad	Märkisch Friedland	Miroslaveca	מירוסלאבייץ	Мирославец	Мирославець	Мирославјец	米羅斯瓦維茨																								Mirosławiec 	Frydląd Marchijski	Märkisch Friedland					Frédlądk	Frëdlącëk	Prÿdland	Frydlancik	Fridlanczik	Fridlanzick	Frydlandek	Fredlądczyk	Frydląd	Fredland	Fridland	Nova Fredeland	Nuve Fredeland	Vredeland	Vredelande	Vredelant	Niegen Friedland	Polnisch Friedland	Marchijski Frydland	Friedlandt	Neu Friedland	Nig-Friedlandt	Fridelant	Marchijski Frydląd	Märkisch Friedland	Frédląncék	Mirosławiec	Märkisch Friedland																				Mirosławiec	Mirosławiec	Mirosławiec	Märkisch Friedland
Mściszewice						Schemochewitz	Schemschewitz	Schemschewitz	Schemschewnz		Msciezezewice			Schemschewnz			Schemschewitz			Msciczezewice																								Miszyszewitz									Msćiszewice		Msziczezewice			Msziszewice		Mschiszewitz						Mściszewice	Mischischewitz	Mischischwitze	Augustowem													Mischischewitz	Mischischewitz	Mischischewitz		Mischischewitz			Mischischewitz		Mischischewitz		Mischischewitz	Mischischewitz		Mischischewitz	Mischischewitz	Mischischewitz				Msziszewice							Mściszewice									Mściszewice		Mischischewitz			Mściszewice		Mischischewitz								Mischütz		Mischischewitz	Mischischewitz	Mischischewitz				Mściszewice		Mischischewitz					Mściszewice								Mściszewice					Mischischewitz	Mściszewice					Mściszewice	Mściszewice	Mściszewice		Mściszewice		Mściszewice			Mściszewice	Mscëszewice	Mcëszejce	Mscëszewice	Msceszewice					Mściszewice	Mscëszejce	Mściszewice	Mischischewitz						Mściszewice												Mściszewice	Mcëszéwice	Mischischewitz	Mischütz	Mściszewice		Mściszewice	Mischischewitz	Mściszewice 	Mszczyczewicze	Msciszewice	Mischütz													Mściszewice 	Msciszewice																																		Mściszewice 	Mscëszejce						Mscëszejce	Mściszewice																																														Mściszewice	Mściszewice	Mściszewice	
Nowe	Neuburg	Nowie		Nowie Neuburg		Neuenburg	Neuenburg	Neuenburg	Neuenburg		Neuenburg		Neuenburg	Neuenburg		Neuburg	Neuenburg	Neüenburg	Neuenburg	Neuenburg	Neuenburg	Neuburg				Neuenburg		Neuburg	Neuburg	Neuenburg	Nowie			Neuenburg	Nowie		Neuburg	Neuenburg		Neuenburg		Neuenburg	Neuenburg	Neuenburg		Neuenburg	Neuenburg	Neuenburg	Neuenburg	Neuenburg		Neuenburg	Nowe	Neuenburg	Neuenburg			Neuenburg		Neuenburg		Neuenburg	Nowie	Neuenburg	Neuenburg	Nowe	Neuenburg	Nuwinburg	Newinburg	Nuwenborgk	Novum castrum	Nuenborch							Neuenburg		Neuenburg	Neuenburg	Neuenburg	Neuenburg	Nowe	Neuenburg	Neuenburg	Neuenburg	Neuenburg	Nowe	Neuenburg	Neuenburg	Neuenburg	Neuenburg	Nowe	Neuenburg	Neuenburg	Neuenburg	Nowe		Nowe	Neuenburg		Nowe		Nowe			Nowe	Nowe		Nowe				Neuenburg		Nowe		Neuenburg		Nowe	Neuenburg		Nowe		Neuenburg		Neuenburg	Nowe	Nowe		Neuenburg		Neuenburg	Neuenburg	Neuenburg		Nowe		Nowe		Neuenburg	Nowe		Nowe	Nowe	Nowe	Nowe		Nowe	Neuenburg		Nowe	Nowe	Nowe	Nowe	Nowe	Nowe	Nowe	Neuenburg	Nowe		Nowe	Nowe	Nowe	Nowe		Nowe	Nowe	Nowe		Nowe												Nowe		Nowe	Neuenburg						Nowe	Neuenburg										Nowe	Nowe	Neuenburg			Nowe		Nowe	Neuenburg	Nowe 																Nowe 	Nove	Nowé	nuo wei	Нове	諾韋																														Nowe 	Neuenburg						Nowé	et Numburgensem diocesim	Witego de Noua domo	de Nove	et Nuenborg	in Noue	die Stadt Neuenburg		de Nowinburk	Neunborch	de Nove	Neyberg	Nemburg	in Nove	Neuwenborgk	Nowe	Neyburg	Nove	Nowe	Neoburgi	Neuenburg	Nowa	Nowe	Neuenburg	Nowè	Nove	Nowe	Neuenburg																				Nowe	Nowe	Nowe	Neuenburg
